,0,1
970,TYROBP,FGL2
971,PSAP,LRRC25
972,NCF2,TBXAS1
973,SAT1,LILRB2
974,RPL10A,RPS23
975,RPS3A,RPL37A
976,RPS15,TPT1
977,RPL37A,RPS3
978,RPL18,RPL32
979,FCGRT,CSF3R
980,RPL3,RPLP1
981,FCGR2A,HLA-DPA1
982,CPVL,FCGR1A
983,RPL3,RPS4X
984,RPL7A,RPL14
985,SRGN,CD86
986,SERPINA1,FAM20A
987,FCGR2A,GNB4
988,APOC1,APOE
989,RPS16,RPL22
990,MARCH1,FCGRT
991,SAT1,SYNGR2
992,RPS14,RPS28
993,NCF2,TMEM176B
994,APOC1,BTK
995,CD86,C5AR1
996,RPL4,RPL23A
997,RPS5,RPL36
998,RPL29,RPL10
999,IGSF6,CTSB
1000,LPCAT2,HLA-DPA1
1001,IGSF6,SLC8A1
1002,CYBB,SLC15A3
1003,RPS27,RPL14
1004,RPL17,RPS3A
1005,RAC1,LYZ
1006,TPT1,RPL10
1007,RPL11,RPS24
1008,TUBA1B,ARPC2
1009,LYN,CLEC4A
1010,RPS12,RPS2
1011,PLAUR,TYROBP
1012,RPS13,RPS15
1013,RPL5,RPL36
1014,RPL26,RPL41
1015,LY86,ANXA2
1016,ADGRE2,SPI1
1017,S100A9,FGL2
1018,RPS7,RPS27
1019,PLXDC2,DUSP1
1020,ATP6V0B,MPEG1
1021,CST3,CPVL
1022,RPL37,RPL32
1023,RPS14,RPS25
1024,TYROBP,SPI1
1025,GNS,CST3
1026,IFI30,MGLL
1027,TYMP,HLA-DMB
1028,ZNF385A,FCER1G
1029,HLA-DRB1,CARD16
1030,DAPK1,EMILIN2
1031,HLA-A,B2M
1032,CD27,PTPRCAP
1033,HLA-DPA1,PLXDC2
1034,RPL22,RPL11
1035,RPL12,RPL23A
1036,RPS15,RPSA
1037,MNDA,RGS18
1038,RPS4X,RPL30
1039,RPS3,CD3D
1040,SERPINA1,PICALM
1041,CLEC4A,IGSF6
1042,FCGRT,TYMP
1043,LYN,CTSC
1044,GRN,NCF2
1045,METTL7A,LILRB2
1046,RPL27A,RPS15A
1047,RASSF4,GSN
1048,RAB31,CD302
1049,LY86,TNFSF13B
1050,LYZ,HLA-DRA
1051,RPL3,RPL4
1052,SAT1,GRN
1053,HLA-DPA1,ATP6V0B
1054,HLA-DRB1,TTYH3
