,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.1,seurat_clusters,assign.ident,assign.score,Amp_batch,source,patient,assign.CIBERSORT,assign.curated,assign.level3_anno,assign.level1_anno
W687444_GSM3496315_AB2501_Tumo,0,2083.0,762,2,2,B,4.4137903050582095,30,1,6,B,B,B,0
WMC0038788_GSM3496380_AB3096_T,0,1354.0,702,8,8,CD8Tex,2.3728707457939557,95,1,29,CD8Tex,CD8Tex,CD8Tex,0
W684185_GSM3496306_AB2492_Tumo,0,1703.0,670,3,3,CD4Tconv,1.0945560605446019,21,1,6,CD4Tconv,CD4Tconv,CD4Tnaive,0
W692256_GSM3496327_AB2513_Tumo,0,2045.0,728,2,2,B,4.4137903050582095,42,1,24,B,B,B,0
W871771_GSM3496366_AB2989_Tumo,0,3787.0,1373,11,11,pDC,2.9395231999772227,81,1,12,pDC,DC,DC,0
W842497_GSM3496357_AB2912_Tumo,0,5846.0,1174,10,10,TMKI67,3.9990709402858386,72,1,28,TMKI67,TMKI67,TMKI67,0
WMC293267_GSM3496431_AB4139_Tu,0,1804.0,664,7,7,Mono/Macro,4.5137206227938425,146,1,17,Mono/Macro,Mono/Macro,Monocyte,0
WMC0037599_GSM3496377_AB3093_T,0,11928.0,2794,20,20,TMKI67,2.162243283700641,92,1,29,TMKI67,TMKI67,TMKI67,0
WMC0106909_GSM3496381_AB3274_T,0,2397.0,685,2,2,B,4.4137903050582095,96,1,27,B,B,B,0
W843065_GSM3496359_AB2914_Tumo,0,9333.0,1223,12,12,Plasma,2.8827375079550275,74,1,28,Plasma,Plasma,Plasma,0
W715474_GSM3496342_AB2574_Tumo,0,2366.0,676,0,0,CD8Tex,3.0066744286892493,57,1,3,CD8Tex,CD8Tex,CD8Tex,0
WMC0038694_GSM3496380_AB3096_T,0,1122.0,588,8,8,CD8Tex,2.3728707457939557,95,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC627664_GSM3496467_AB5019_Tu,0,2359.0,946,0,0,CD8Tex,3.0066744286892493,182,1,22,CD8Tex,CD8Tex,CD8Tex,0
W872154_GSM3496367_AB2990_Tumo,0,4537.0,1290,11,11,pDC,2.9395231999772227,82,1,12,pDC,DC,DC,0
WMC0038162_GSM3496379_AB3095_T,0,1882.0,884,1,1,CD8Tex,4.089338694095589,94,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC286612_GSM3496413_AB4121_Tu,0,2517.0,902,9,9,TMKI67,2.1419943291597425,128,1,25,TMKI67,TMKI67,TMKI67,0
WMC329410_GSM3496440_AB4233_Tu,0,2803.0,1179,5,5,Mono/Macro,3.5403363819401705,155,1,26,Mono/Macro,Mono/Macro,M1,0
W685557_GSM3496310_AB2496_Tumo,0,1495.0,587,2,2,B,4.4137903050582095,25,1,6,B,B,B,0
WMC286709_GSM3496414_AB4122_Tu,0,2974.0,1075,9,9,TMKI67,2.1419943291597425,129,1,25,TMKI67,TMKI67,TMKI67,0
